Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36486828,حمام الدار,سعود السنعوسي,"السنعوسي, سعود",Saud Alsanousi,"=""""","=""9786140123779""",0,3.57,الدار العربية للعلوم ناشرون - منشورات ضفاف,Paperback,182,2017,2017,,2018/01/24,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
17903783,آنا كارنينا,Leo Tolstoy,"Tolstoy, Leo","أميل بيدس, جوزيف إلياس","=""""","=""5281006011237""",0,4.07,دار العلم للملايين,Paperback,368,2001,1877,,2018/01/24,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
22715000,أفلام مشاهدة بدقة: مدخل إلى فن تقنية السرد السينمائي,Marilyn Fabe,"Fabe, Marilyn",محمد هاشم عبد السلام,"=""""","=""""",0,4.03,المركز القومي للترجمة,Paperback,411,2013,2004,,2018/01/16,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
27601706,كلمات رديئة,ميثم راضي,"راضي, ميثم",,"=""""","=""9789187373107""",0,3.80,منشورات المتوسّط,Paperback,71,2015,2015,,2018/01/14,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
3553839,موسم الهجرة إلى الشمال,الطيب صالح,"صالح, الطيب",Tayeb Salih,"=""""","=""9786000080327""",5,3.71,دار العين,Paperback,168,2004,1966,,2015/01/09,favorites,favorites (#13),read,,,,1,,,0,,,,,
6352406,Codex In Crisis,Anthony Grafton,"Grafton, Anthony",,"=""""","=""9780979696947""",0,3.67,The Crumpled Press,,64,2008,2008,,2017/10/14,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
28506314,العجوز والبحر,Ernest Hemingway,"Hemingway, Ernest","إرنست همنغواي, محمود حسني","=""""","=""9789777650403""",0,3.79,دار آفاق ,Paperback,126,2016,1952,,2015/02/14,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
28510315,باولو,Youssef Rakha,"Rakha, Youssef",,"=""""","=""9789776483583""",0,2.58,دار التنوير,Paperback,160,2016,,,2017/01/21,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
8108485,سمرقند,Amin Maalouf,"Maalouf, Amin","أمين معلوف, عفيف دمشقية","=""""","=""9789953712680""",0,4.24,دار الفارابي,Paperback,375,2008,1988,,2016/05/13,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
17191029,التائهون,Amin Maalouf,"Maalouf, Amin","أمين معلوف, نهلة بيضون","=""""","=""9789953719191""",0,4.14,دار الفارابي - بيروت,Paperback,555,2013,2001,,2016/05/13,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
